Date_time,Tweet
2019-03-11 11:05:06,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:05:03,b'RT @rajeev_mp: #PhirEkBaarModiSarkar #ModiMattome \n\n#Elections2019 \n\nThis is the election where voters will vote to #Continue progress of #\xe2\x80\xa6'
2019-03-11 11:04:58,"b'#ElectionsWithMC | A day after ECI announced #Elections2019 dates, Union Finance Minister @ArunJaitley reaffirmed\xe2\x80\xa6 https://t.co/MsIwfEtg2l'"
2019-03-11 11:04:48,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:04:48,"b'Interestingly, #Centre has announced that it will hold talks with the conservative parties Pro Patria and EKRE to b\xe2\x80\xa6 https://t.co/eJ7Th5401p'"
2019-03-11 11:04:41,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:04:37,b'RT @Kasheer_suneel: Remember you are voting for your dreams and your passion . If we lose now we will not get another chance this is a do o\xe2\x80\xa6'
2019-03-11 11:04:32,b'whom Ideology best?\n\n#Elections2019 #April11'
2019-03-11 11:04:26,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 11:04:17,b'You know last year I was robbed by a taxi driver and I had to fight his friend off me with my pants pulled down. \xf0\x9f\x98\xad\xe2\x80\xa6 https://t.co/tYSd9N9RXG'
2019-03-11 11:04:10,b'RT @Anirudh_Astro: Announcement of election schedule and counting date by #ElectionCommission has confirmed the predictions made by me in t\xe2\x80\xa6'
2019-03-11 11:04:03,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:04:01,b'RT @vibhamathur10: The countdown to electing a new government begins. Make sure you are a registered voter and have valid identity proof to\xe2\x80\xa6'
2019-03-11 11:03:58,b'RT @Kasheer_suneel: Remember you are voting for your dreams and your passion . If we lose now we will not get another chance this is a do o\xe2\x80\xa6'
2019-03-11 11:03:50,b'Looks like @narendramodi fear boggles (and controls!) their minds 24\xc3\x977. \nTake care @MehboobaMufti @OmarAbdullah et\xe2\x80\xa6 https://t.co/jvFVqdYUIv'
2019-03-11 11:03:45,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:03:34,"b""Greetings! Here's the list of candidates for the next Executive Board of ELSSOC this A.Y.\n\n2019-2020!\n\nMore details\xe2\x80\xa6 https://t.co/dbvEpFk1GA"""
2019-03-11 11:03:02,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 11:02:53,b'RT @SINGHRAJIVRANA1: Vote For Nation\nVote For Future \n\nVote For Modiji\nVote For BJP\n\n#Elections2019 \n#MeraBoothSabseMazboot \n#ElectionCommi\xe2\x80\xa6'
2019-03-11 11:02:43,b'RT @sudarsansand: Welcome #Election2019 : Proud to be a voter ready  to vote \xe2\x80\x9c #Elections2019 #LokSabhaElections2019 https://t.co/7Yr71qTyEm'
2019-03-11 11:02:37,"b'RT @RamMNK: Hi everyone, #Elections2019 are here. Every vote counts, every voice is important. I urge you all to contribute in spreading wo\xe2\x80\xa6'"
2019-03-11 11:02:18,b'RT @HCookey: SITUATION IN RIVERS STATE;\n\nPDP wins: The people have spoken\nAAC wins: It is rigging!!! \n\nMay thunder fire you!!! \n\nBeware of\xe2\x80\xa6'
2019-03-11 11:02:17,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:02:09,b'RT @MosagaduBabu: This election is not about YSRCP &amp; TDP or any other party\n\nThis election is not about @ysjagan &amp; @ncbn\n\nThis is about\n#De\xe2\x80\xa6'
2019-03-11 11:02:00,b'RT @CMO_Odisha: CM @Naveen_Odisha announced historic decision of #Odisha to send 33% #women to #Parliament in ensuing #elections2019. #Biju\xe2\x80\xa6'
2019-03-11 11:01:57,"b""Don't blame media. Media is always right (either left or right).We are the people who not interested in dumb news.\xe2\x80\xa6 https://t.co/dQBLz2pNfa"""
2019-03-11 11:01:55,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
